Area,Bedrooms,Bathrooms,Age,Location,Price
3475,2,1,34,Downtown,817039.0
2082,5,3,18,Downtown,676334.0
1509,5,2,49,Suburbs,288377.0
4548,5,1,7,Rural,617624.0
1463,3,1,25,Uptown,307825.0
2798,4,2,48,Downtown,692006.0
4245,3,1,39,Suburbs,697545.0
4543,5,2,6,Downtown,1193729.0
2295,2,2,29,Suburbs,382172.0
4104,1,2,6,Uptown,754929.0
4563,4,3,2,Uptown,988267.0
2653,4,3,0,Rural,459760.0
2091,3,3,35,Suburbs,370289.0
4381,4,2,24,Suburbs,756777.0
4257,5,2,36,Rural,619464.0
2436,5,3,0,Rural,378012.0
4496,3,1,14,Suburbs,774437.0
3799,5,2,36,Rural,559920.0
3952,2,1,12,Uptown,767160.0
1498,3,1,39,Downtown,434113.0
2960,2,2,7,Uptown,615815.0
4897,1,2,4,Rural,592514.0
1654,2,1,8,Suburbs,260649.0
4274,1,1,0,Suburbs,656063.0
2507,1,3,35,Uptown,528716.0
3577,2,3,34,Suburbs,633912.0
2533,3,2,1,Rural,377425.0
4310,5,3,39,Uptown,869061.0
1002,5,3,22,Suburbs,281526.0
4055,1,3,8,Downtown,976685.0
1566,1,3,33,Downtown,410356.0
3127,3,1,45,Rural,372040.0
3731,4,2,13,Suburbs,682126.0
997,2,3,3,Rural,204700.0
2730,1,1,29,Uptown,506367.0
4382,5,1,30,Downtown,1091504.0
1408,3,1,37,Uptown,324359.0
4072,2,3,10,Suburbs,681197.0
1947,3,3,34,Rural,253673.0
4197,2,2,7,Rural,594060.0
3311,2,3,2,Rural,438788.0
2594,1,3,13,Uptown,545047.0
1459,3,1,12,Downtown,463385.0
3611,3,2,44,Uptown,725633.0
2169,5,3,31,Uptown,503052.0
2786,5,3,33,Suburbs,566142.0
946,1,1,44,Suburbs,96582.0
4019,1,1,18,Suburbs,662148.0
3711,4,3,37,Downtown,940358.0
2534,5,2,15,Downtown,750810.0
2643,2,2,1,Suburbs,508782.0
1288,3,1,39,Suburbs,202866.0
3776,1,1,16,Downtown,886917.0
2759,3,3,33,Rural,429878.0
3185,3,1,41,Downtown,752267.0
3719,4,3,15,Downtown,993605.0
2602,5,2,37,Downtown,685184.0
4861,1,2,1,Suburbs,785766.0
4169,3,3,1,Rural,542701.0
1062,1,1,25,Downtown,215360.0
1423,2,2,12,Suburbs,301505.0
1816,4,1,46,Uptown,397093.0
4443,2,2,30,Uptown,798791.0
2849,1,3,33,Downtown,714326.0
4523,1,3,38,Uptown,873458.0
3908,5,3,2,Rural,611476.0
4890,3,2,7,Uptown,986363.0
2856,3,1,22,Uptown,625539.0
3970,2,1,13,Rural,504757.0
2482,4,1,26,Downtown,689425.0
3055,3,2,28,Downtown,781632.0
1954,5,2,38,Rural,353580.0
3991,2,2,38,Rural,454827.0
2496,2,2,0,Rural,362409.0
4791,5,2,16,Uptown,1018075.0
2448,4,1,40,Rural,382944.0
2245,5,2,29,Suburbs,423694.0
4999,4,2,12,Uptown,1066975.0
4723,5,1,20,Downtown,1193309.0
1053,5,2,18,Downtown,382248.0
3983,1,1,18,Downtown,943437.0
3357,2,1,24,Uptown,678685.0
898,5,3,21,Suburbs,305207.0
3000,5,3,30,Rural,427954.0
3761,3,3,16,Rural,527541.0
4577,2,3,22,Downtown,1164284.0
3669,3,2,31,Downtown,959952.0
4034,2,3,9,Uptown,847186.0
4591,3,1,9,Suburbs,775077.0
1756,5,2,35,Rural,241712.0
4867,5,3,7,Uptown,993621.0
960,1,1,19,Rural,90497.0
2100,3,2,31,Downtown,543551.0
4787,4,2,49,Rural,649624.0
2327,1,3,13,Suburbs,406805.0
2018,3,2,49,Suburbs,306955.0
3904,3,1,27,Downtown,904967.0
3535,1,2,45,Suburbs,534097.0
1754,5,1,23,Suburbs,353103.0
4246,3,2,14,Uptown,825869.0
1845,5,3,21,Rural,315123.0
2493,1,1,29,Downtown,581501.0
4236,5,2,3,Downtown,1137519.0
1362,2,2,12,Downtown,425553.0
3285,4,2,22,Downtown,824483.0
4154,3,1,7,Downtown,1075185.0
1025,4,1,17,Suburbs,258274.0
1759,5,1,11,Uptown,488477.0
3867,3,3,30,Downtown,938273.0
1615,5,3,13,Uptown,465909.0
3920,2,1,33,Uptown,775079.0
816,1,2,17,Suburbs,161205.0
2043,3,3,33,Downtown,549024.0
3005,2,1,10,Suburbs,522527.0
3324,2,2,40,Downtown,793148.0
1869,3,3,11,Suburbs,399383.0
4244,5,2,48,Uptown,910559.0
3365,2,2,14,Downtown,835166.0
1860,4,2,30,Rural,269154.0
3127,2,2,48,Uptown,547262.0
4220,5,3,28,Rural,619783.0
1101,5,3,25,Uptown,379414.0
1406,4,3,17,Suburbs,288638.0
3970,2,1,31,Downtown,889953.0
1499,5,3,21,Uptown,418042.0
1939,3,2,37,Suburbs,376956.0
990,1,3,16,Downtown,308149.0
3100,1,2,22,Downtown,701892.0
1780,1,1,23,Uptown,329524.0
3775,2,2,49,Downtown,863174.0
1984,4,2,7,Uptown,446361.0
4127,5,2,40,Downtown,1093109.0
4194,3,1,5,Rural,515585.0
927,3,3,4,Suburbs,288312.0
2865,2,3,43,Rural,346182.0
2616,1,1,28,Uptown,507537.0
1369,2,2,27,Rural,226643.0
2695,4,3,10,Uptown,593666.0
3533,4,1,0,Downtown,955191.0
4663,5,3,42,Downtown,1160186.0
4814,5,1,18,Uptown,959097.0
3701,4,2,8,Rural,480485.0
2486,4,3,26,Downtown,678204.0
3809,4,1,33,Suburbs,607279.0
954,2,3,43,Downtown,256470.0
3337,4,3,3,Suburbs,602073.0
2209,3,3,35,Rural,342168.0
4857,1,3,17,Suburbs,792713.0
1584,4,1,14,Suburbs,346125.0
3975,1,2,12,Suburbs,598030.0
3606,2,1,18,Suburbs,534489.0
1337,1,1,48,Downtown,266137.0
2641,2,1,5,Suburbs,489814.0
3255,3,2,47,Downtown,792814.0
1324,2,3,11,Suburbs,274093.0
3750,2,3,36,Uptown,777126.0
4931,5,3,16,Rural,685873.0
4915,4,2,22,Suburbs,841035.0
3168,4,3,25,Uptown,659549.0
4647,3,2,28,Suburbs,763245.0
3501,3,3,32,Suburbs,574051.0
1771,4,3,26,Suburbs,338226.0
1966,5,1,24,Uptown,444588.0
3574,4,2,9,Rural,534391.0
2782,5,1,46,Uptown,559024.0
1653,3,1,22,Rural,251041.0
4946,1,1,20,Suburbs,723160.0
4536,3,2,20,Downtown,1111040.0
4569,3,2,42,Suburbs,778432.0
1374,2,3,12,Rural,229963.0
4061,2,1,36,Uptown,745210.0
1948,2,3,32,Suburbs,297187.0
2515,2,1,23,Uptown,466205.0
4654,5,2,43,Uptown,970604.0
3291,4,2,10,Uptown,675406.0
3460,1,2,16,Suburbs,571309.0
3924,3,1,3,Uptown,788647.0
3851,5,2,46,Uptown,819394.0
804,1,1,24,Suburbs,139135.0
1676,5,3,29,Uptown,433826.0
1791,5,1,8,Suburbs,382211.0
4942,3,3,20,Rural,621417.0
1435,4,1,19,Rural,236592.0
2493,2,3,18,Rural,310107.0
2482,4,2,18,Uptown,540936.0
919,3,3,11,Downtown,301558.0
1630,3,2,36,Downtown,453548.0
4475,3,2,41,Uptown,818598.0
2169,1,3,16,Downtown,581729.0
1540,4,1,36,Suburbs,326207.0
916,4,1,47,Downtown,283261.0
3638,5,1,38,Uptown,757892.0
1950,5,1,27,Uptown,441084.0
2731,5,1,40,Suburbs,533264.0
1812,3,2,34,Rural,233162.0
2464,4,1,46,Uptown,486348.0
1881,3,2,47,Suburbs,295466.0
1312,1,2,17,Downtown,371696.0
3649,5,2,13,Downtown,963493.0
1359,3,3,34,Suburbs,255116.0
4472,3,3,43,Suburbs,778545.0
4143,1,2,40,Uptown,731740.0
4870,2,3,6,Downtown,1178261.0
2270,4,1,40,Suburbs,348366.0
1380,2,1,12,Downtown,330898.0
3094,5,2,17,Suburbs,545495.0
3947,3,1,36,Downtown,935594.0
2479,1,2,12,Rural,281886.0
4306,1,2,35,Uptown,777473.0
3544,4,1,30,Downtown,855856.0
4156,2,3,1,Rural,565962.0
4845,4,1,15,Downtown,1256324.0
2043,3,1,8,Downtown,516253.0
3918,4,2,8,Rural,531391.0
2941,1,2,37,Downtown,726901.0
3859,1,2,10,Downtown,941176.0
3759,5,2,21,Uptown,826917.0
3065,5,3,32,Rural,503013.0
3279,3,3,35,Rural,441054.0
2435,2,3,44,Suburbs,387667.0
2557,4,2,22,Downtown,745345.0
2870,3,2,44,Uptown,605439.0
3649,5,2,44,Downtown,965031.0
4051,4,3,33,Downtown,1094356.0
4530,5,2,8,Suburbs,790954.0
3289,4,1,23,Downtown,799612.0
2431,2,1,7,Uptown,499890.0
3616,3,2,6,Uptown,788247.0
1815,4,1,35,Suburbs,373998.0
2148,1,1,17,Downtown,536186.0
3887,1,3,2,Uptown,744076.0
3639,4,2,27,Downtown,979099.0
1135,4,2,5,Downtown,392307.0
1695,4,3,43,Downtown,502992.0
4346,1,1,43,Suburbs,666273.0
1651,1,1,20,Downtown,378192.0
2487,4,2,27,Uptown,518144.0
2731,5,1,39,Downtown,683929.0
4546,5,3,0,Uptown,1017240.0
3227,2,3,35,Downtown,794693.0
2368,3,2,20,Uptown,544188.0
4800,5,3,42,Uptown,1000271.0
3538,1,3,34,Downtown,839661.0
4298,5,2,12,Downtown,1133663.0
4713,2,3,48,Uptown,928418.0
1866,2,3,9,Rural,294713.0
3244,3,3,43,Suburbs,507448.0
4907,5,1,46,Rural,672712.0
4173,1,2,9,Rural,549685.0
4769,1,2,45,Downtown,1116969.0
3346,4,2,12,Suburbs,611502.0
1553,1,1,36,Rural,207605.0
2882,3,1,37,Downtown,697672.0
3574,3,2,23,Rural,481703.0
3696,1,1,1,Rural,486053.0
4985,1,2,21,Downtown,1167857.0
1575,4,1,16,Downtown,472295.0
2425,1,3,35,Downtown,616129.0
3869,4,3,13,Suburbs,644812.0
1217,4,2,9,Rural,186300.0
914,1,1,34,Downtown,256469.0
1416,2,1,24,Uptown,251355.0
4774,2,3,2,Rural,683493.0
4067,4,3,46,Uptown,790129.0
1625,1,1,37,Suburbs,257692.0
2316,2,1,16,Downtown,602520.0
3946,1,1,11,Uptown,711633.0
1212,1,1,23,Suburbs,168166.0
1528,1,1,28,Downtown,348336.0
4148,5,1,42,Uptown,801609.0
3608,1,2,24,Uptown,642435.0
1475,5,1,35,Suburbs,321271.0
4265,4,3,25,Downtown,1127779.0
3304,2,2,37,Downtown,773043.0
3767,2,1,0,Uptown,723485.0
3586,2,3,19,Uptown,762889.0
1922,2,2,27,Uptown,422699.0
4879,2,3,15,Downtown,1158143.0
2371,2,1,46,Suburbs,319271.0
2943,2,1,16,Suburbs,489279.0
2487,4,1,39,Downtown,653869.0
4932,1,1,27,Rural,562959.0
4651,3,2,11,Suburbs,755877.0
4240,5,2,26,Uptown,845566.0
4566,3,3,41,Rural,561426.0
3126,3,1,46,Rural,402142.0
3714,1,3,29,Suburbs,567142.0
4752,1,2,40,Rural,543326.0
1395,1,1,33,Rural,136387.0
1528,2,1,36,Suburbs,225242.0
2165,4,2,5,Suburbs,469174.0
1498,2,2,6,Rural,232578.0
1195,4,2,31,Uptown,351950.0
4971,4,2,31,Downtown,1205298.0
3302,3,2,24,Rural,417059.0
2619,3,1,32,Rural,374106.0
1517,4,2,6,Uptown,388723.0
3582,4,1,11,Rural,457323.0
4377,2,1,15,Rural,525519.0
943,2,2,15,Downtown,291674.0
3940,3,2,42,Downtown,971280.0
3738,1,1,35,Downtown,813958.0
4436,4,2,12,Suburbs,774984.0
4022,2,2,6,Suburbs,667525.0
1967,3,2,35,Downtown,513027.0
3416,2,3,46,Downtown,814763.0
1862,4,1,8,Suburbs,377681.0
2956,4,3,31,Uptown,642809.0
3782,5,2,10,Rural,509183.0
4094,1,3,7,Rural,563853.0
1956,5,2,32,Downtown,576891.0
1532,3,3,22,Uptown,354494.0
1753,2,2,24,Suburbs,306051.0
3339,3,3,7,Downtown,917718.0
4124,4,3,44,Uptown,888631.0
4101,5,3,21,Uptown,894510.0
2342,5,1,3,Uptown,552759.0
1991,5,3,39,Suburbs,359477.0
3793,3,1,2,Suburbs,688093.0
3481,4,2,28,Rural,495973.0
2017,2,3,40,Rural,241739.0
2340,2,2,28,Uptown,513019.0
4036,3,2,33,Uptown,750193.0
3186,5,3,33,Suburbs,553498.0
4519,1,1,27,Rural,527487.0
2188,3,3,12,Uptown,525863.0
2656,3,2,14,Rural,398910.0
2165,4,2,22,Rural,325426.0
1299,2,3,43,Uptown,293770.0
2480,3,1,25,Suburbs,452072.0
1310,3,1,3,Uptown,275758.0
2124,5,2,25,Uptown,533628.0
1955,5,2,39,Rural,307513.0
2627,1,1,8,Uptown,508259.0
3941,4,3,4,Suburbs,718028.0
4286,1,2,31,Uptown,780623.0
2610,5,1,19,Suburbs,495719.0
3723,2,2,49,Suburbs,564636.0
3014,5,3,10,Rural,456646.0
4986,4,1,14,Downtown,1227119.0
1513,5,2,31,Downtown,492143.0
4402,4,3,27,Rural,575869.0
4934,4,2,21,Uptown,1020129.0
4322,4,3,40,Rural,564517.0
2043,4,3,16,Suburbs,423451.0
4509,4,1,25,Downtown,1166662.0
1881,2,3,43,Rural,247404.0
1255,1,2,6,Uptown,310480.0
1694,3,3,41,Rural,297372.0
2184,1,3,25,Downtown,518206.0
2758,4,1,24,Rural,426395.0
3872,2,3,9,Rural,512474.0
2796,5,3,44,Downtown,770917.0
1304,2,2,18,Suburbs,253068.0
2014,4,1,10,Suburbs,356194.0
2331,2,1,12,Downtown,596771.0
4240,2,1,7,Rural,507789.0
1623,4,3,39,Downtown,501396.0
1728,2,1,3,Suburbs,262857.0
933,3,3,46,Uptown,287040.0
2905,3,3,30,Rural,398131.0
4427,2,2,27,Suburbs,709277.0
2652,5,2,10,Rural,367404.0
4975,4,2,42,Downtown,1264453.0
3733,3,2,0,Uptown,813913.0
4084,5,2,48,Downtown,1033147.0
3611,2,3,46,Uptown,666381.0
2050,5,3,37,Rural,376366.0
4312,1,1,23,Rural,527639.0
2056,3,3,46,Downtown,572645.0
4176,2,3,30,Uptown,772232.0
4286,4,2,40,Uptown,814897.0
4384,2,3,45,Rural,566659.0
2196,4,2,49,Downtown,603807.0
4437,2,1,25,Uptown,856715.0
4130,5,1,48,Rural,577470.0
3503,5,3,49,Suburbs,575172.0
1270,5,1,4,Downtown,472692.0
2153,1,3,19,Suburbs,414582.0
3583,4,1,40,Downtown,878706.0
3631,5,2,10,Rural,560955.0
1157,1,2,32,Uptown,201298.0
3819,4,2,49,Uptown,769439.0
1467,2,2,37,Uptown,297516.0
1945,1,3,26,Downtown,479701.0
4985,3,1,33,Rural,623738.0
4519,1,3,14,Suburbs,727878.0
3545,1,2,31,Rural,450407.0
1339,4,3,20,Suburbs,305727.0
3579,2,1,45,Downtown,868058.0
4936,3,3,4,Downtown,1255561.0
4575,5,1,5,Suburbs,839724.0
3308,5,3,37,Suburbs,594669.0
3579,1,1,21,Suburbs,583986.0
1724,4,1,17,Rural,239715.0
3756,4,2,13,Suburbs,694517.0
2381,5,1,9,Downtown,658916.0
4124,3,2,45,Downtown,1030126.0
1055,2,2,12,Uptown,236886.0
2638,3,2,30,Suburbs,437421.0
2744,2,3,29,Rural,378866.0
809,5,3,2,Rural,175184.0
3671,2,3,29,Rural,491955.0
1597,4,3,5,Uptown,383583.0
1815,1,1,28,Downtown,459585.0
2624,1,1,7,Rural,350273.0
3936,5,3,43,Downtown,1068722.0
2993,4,1,44,Uptown,647452.0
1023,3,1,42,Suburbs,161866.0
4958,4,2,43,Suburbs,762514.0
4725,1,2,32,Suburbs,755287.0
4800,1,2,16,Rural,603458.0
2433,4,2,47,Suburbs,394458.0
2952,4,1,10,Rural,457406.0
1310,1,3,12,Uptown,328316.0
1184,3,1,49,Uptown,230019.0
1204,5,1,10,Rural,224815.0
2800,5,1,30,Downtown,754306.0
3556,4,2,27,Suburbs,644253.0
2468,5,2,43,Suburbs,470968.0
2260,1,2,5,Suburbs,369739.0
4436,1,3,40,Rural,537105.0
3524,4,1,15,Uptown,712300.0
4978,4,3,3,Suburbs,908035.0
2848,4,2,34,Uptown,648542.0
4946,3,3,47,Suburbs,834916.0
1516,5,1,25,Suburbs,269009.0
2623,4,1,11,Rural,398213.0
2881,2,2,10,Downtown,773706.0
4219,2,2,36,Rural,574608.0
2374,1,3,24,Suburbs,375241.0
1049,5,2,17,Suburbs,250359.0
1473,4,2,18,Downtown,426207.0
2965,2,1,22,Uptown,615372.0
1570,5,2,37,Uptown,443552.0
4762,1,2,17,Suburbs,723233.0
2784,3,1,25,Uptown,588274.0
1877,5,1,5,Suburbs,349857.0
1035,5,3,3,Downtown,488082.0
1188,3,2,43,Downtown,363674.0
3837,5,1,28,Suburbs,650896.0
2648,1,3,33,Downtown,644572.0
3614,1,3,16,Rural,494964.0
4174,3,2,42,Rural,529429.0
4078,4,2,42,Downtown,1056250.0
2052,2,3,15,Suburbs,355326.0
4781,4,1,1,Suburbs,857908.0
2922,5,3,33,Downtown,861162.0
2950,2,2,7,Uptown,625077.0
2129,3,1,12,Rural,261575.0
2158,3,1,41,Uptown,418409.0
3282,2,3,7,Suburbs,568247.0
2817,1,2,29,Suburbs,440774.0
2131,2,3,31,Uptown,444245.0
2158,5,3,35,Downtown,626103.0
3977,1,3,46,Uptown,749070.0
2928,3,1,29,Uptown,623135.0
2980,2,1,0,Rural,376416.0
937,4,2,42,Rural,171866.0
4272,4,2,38,Uptown,856065.0
3632,5,3,16,Uptown,820482.0
4379,4,3,19,Suburbs,786764.0
3831,2,3,23,Rural,461201.0
4964,2,2,49,Rural,602047.0
3393,4,1,21,Suburbs,580315.0
4618,2,1,28,Downtown,1108761.0
4938,5,3,21,Rural,711882.0
4623,1,3,43,Rural,547366.0
4842,5,3,8,Downtown,1286148.0
2706,5,3,36,Rural,384751.0
1560,2,2,9,Rural,202459.0
4245,1,1,35,Downtown,937568.0
1699,2,3,36,Downtown,448091.0
3747,3,2,27,Uptown,796191.0
2519,2,3,27,Suburbs,450336.0
1080,2,3,41,Suburbs,161877.0
4066,2,1,42,Downtown,923903.0
2687,1,3,20,Downtown,626997.0
4066,2,1,23,Rural,468206.0
1466,1,1,41,Uptown,239446.0
4988,4,1,39,Uptown,994983.0
1471,3,2,1,Downtown,446481.0
2769,1,2,7,Rural,348102.0
4956,4,1,47,Rural,595325.0
3922,1,3,26,Suburbs,663890.0
4700,1,1,21,Suburbs,692527.0
1323,3,3,36,Rural,182403.0
3193,5,1,26,Suburbs,534474.0
3917,5,3,28,Downtown,1035027.0
3393,1,2,2,Rural,461112.0
2768,2,3,43,Suburbs,453342.0
2553,4,1,12,Uptown,570832.0
3096,2,2,44,Rural,424704.0
3061,2,3,9,Rural,398975.0
3086,1,3,35,Uptown,625227.0
3678,1,3,8,Downtown,923422.0
4943,1,3,26,Uptown,911635.0
4444,1,3,33,Rural,547604.0
2855,5,2,0,Downtown,836616.0
2076,1,2,31,Suburbs,332403.0
3566,5,2,24,Suburbs,659279.0
1102,5,2,28,Suburbs,312137.0
1438,1,1,6,Rural,237756.0
855,3,2,48,Uptown,251754.0
1325,4,3,2,Downtown,526908.0
4923,2,3,19,Suburbs,770422.0
2925,5,2,19,Downtown,868471.0
4087,4,3,29,Rural,540167.0
1164,3,2,34,Suburbs,247230.0
2446,2,3,34,Rural,336667.0
1718,2,1,48,Uptown,367348.0
3597,5,1,38,Rural,532100.0
2331,1,2,26,Rural,335130.0
4145,3,2,25,Uptown,843618.0
2706,5,2,13,Downtown,779633.0
3886,3,3,16,Uptown,837606.0
2875,1,2,17,Uptown,519305.0
1513,1,1,44,Rural,214234.0
1862,5,3,28,Downtown,557198.0
2776,1,2,19,Suburbs,418497.0
2096,4,3,26,Uptown,449172.0
925,2,3,17,Downtown,313436.0
4396,5,2,3,Uptown,916372.0
4083,3,3,0,Uptown,834802.0
2403,4,1,49,Uptown,528136.0
866,5,1,0,Uptown,323387.0
1032,1,3,25,Rural,185992.0
2956,1,2,44,Downtown,694569.0
1969,1,3,19,Downtown,466951.0
2958,1,1,22,Downtown,726349.0
2293,3,3,9,Uptown,481909.0
4807,4,3,10,Rural,654573.0
3272,2,1,40,Uptown,626815.0
3460,3,3,40,Uptown,692543.0
3539,3,3,4,Downtown,937651.0
2561,2,2,0,Uptown,515303.0
4314,2,2,16,Suburbs,667528.0
2775,1,1,21,Uptown,500878.0
3162,3,1,33,Suburbs,552786.0
1676,5,1,44,Uptown,401020.0
4612,2,2,40,Rural,611269.0
4248,2,1,28,Rural,487724.0
2112,4,1,3,Downtown,598549.0
2260,5,1,4,Uptown,490691.0
3509,5,2,10,Suburbs,691948.0
3124,2,3,20,Suburbs,550067.0
2533,1,1,34,Uptown,453036.0
2405,4,3,11,Suburbs,481812.0
3363,5,1,25,Rural,522826.0
4221,2,3,18,Suburbs,729912.0
4317,5,2,44,Downtown,1064186.0
3197,4,2,6,Rural,513677.0
4535,4,1,46,Rural,621702.0
3670,3,3,6,Rural,533528.0
1960,2,2,25,Uptown,440031.0
1042,4,1,39,Uptown,246107.0
3390,3,1,4,Rural,416721.0
1863,3,2,20,Uptown,453133.0
3395,5,2,13,Suburbs,604414.0
1719,5,1,3,Uptown,419311.0
805,3,3,22,Uptown,253722.0
1267,5,3,41,Rural,208405.0
4970,4,3,19,Downtown,1230998.0
803,1,1,14,Downtown,260756.0
1445,4,2,49,Downtown,393178.0
917,3,1,44,Suburbs,178930.0
3728,3,2,28,Uptown,739771.0
3351,4,3,7,Downtown,977008.0
1646,5,3,40,Rural,328364.0
3562,5,2,47,Downtown,915510.0
1941,3,2,18,Downtown,548590.0
2610,2,1,47,Uptown,476086.0
1523,5,3,38,Uptown,428450.0
1024,4,1,45,Uptown,198995.0
2848,5,1,27,Suburbs,531906.0
2373,4,1,45,Suburbs,433936.0
2628,3,3,26,Downtown,736016.0
2717,5,1,3,Uptown,583528.0
2826,4,1,14,Downtown,761810.0
4544,3,1,34,Rural,574498.0
1701,2,1,36,Rural,195526.0
2839,4,1,0,Uptown,575307.0
809,2,1,2,Uptown,181557.0
1060,2,3,46,Rural,129066.0
2473,1,1,23,Uptown,410701.0
3019,5,2,26,Suburbs,596921.0
2860,4,1,39,Suburbs,533064.0
4513,2,1,35,Uptown,825091.0
2419,1,3,33,Rural,347943.0
1120,3,3,28,Downtown,406889.0
2142,4,2,23,Uptown,454718.0
3176,2,2,23,Uptown,643860.0
3632,5,3,41,Downtown,926378.0
3624,1,3,3,Uptown,708551.0
2794,2,1,2,Downtown,660326.0
3758,5,3,33,Rural,524214.0
2838,2,2,48,Suburbs,424327.0
4290,4,1,22,Rural,575750.0
4477,4,2,22,Suburbs,754460.0
1918,4,1,44,Downtown,548467.0
2404,1,3,4,Suburbs,429851.0
4827,4,2,30,Rural,628662.0
1035,5,1,40,Suburbs,192234.0
2769,2,1,5,Downtown,737337.0
2708,3,3,36,Suburbs,486586.0
1175,5,3,9,Uptown,407991.0
4330,5,3,39,Rural,561535.0
3435,4,2,6,Uptown,693420.0
2370,1,1,38,Downtown,572921.0
